Company_Name	City	Revenues
First Nationwide	San Jose	200000
Copithorne & Bellows	Santa Clara 340000
FMC	Milpitas	540000
BBDO	Santa Clara	344000
Oakland East Bay Symphony	Oakland	560000
Valley Health System	San Jose	120000
Val Strough Company	Milpitas	340000
iSyndicate	Cupertino	444000
Clif Bar Inc.	Mountain View	110000
Specialty Brands	San Jose	900000
Trans-Illuminat	Milpitas	230000
HOBY	Los Gatos	340000
C.E. Heath	San Jose	670000
Children's Hospital at Stanford	Palo Alto	680000
Bon Motif Company	San Jose	230000
Information Express	San Jose	350000
Marin Medical Practice Concepts	Cupertino	560000
Renaissance Worldwide, Inc.	Los Gatos	455000
Raychem Corporation	Santa Clara	670000
Jefferson Gas Systems	Campbell	890000
IMPAC Group/AGI Inc.	Santa Clara	780000
Therapy Resources Inc.	Santa Clara	670000
Catholic Healthcare West	Los Gatos	340000
Cybele Productions	Santa Clara	100000
NortonHoffberg and Company, Inc.	Cupertino	340000
SIMS LMC	San Jose 230000
Somatix	San Jose 560000
Alameda County Medical Center	Santa Clara	570000
DynEd International	Campbell	440000
Integrated Project Systems	Santa Clara	780000
Kleiner, Perkins	Los Gatos	300000
ADP/ASG	San Jose	450000
Torrance Hospital	Santa Clara	120000
Global Health Sciences Inc.	Santa Clara	900000
Fit For Life	San Jose	800000
Brown & Toland Physician Services Org.	Cupertino	200000
OCLI	Los Gatos	210000
ABC Multimedia	Campbell	340000
Wired Rite Systems Inc.	Santa Clara	400000
Lawrence Berkeley Laboratory	Santa Clara	780000
UCSF-Mount Zion Cancer Center	San Francisco	890000
SRI International	Santa Clara 670000
Trammell Crow Corporate Services	San Jose	340000
SwiftTouch Corporation	Cupertino	110000
Fran's Healthy Helpings	Campbell	450000
Storage Dimensions	Los Gatos	560000
Internet Access Financial Corporation	Santa Clara	450000
IMP	San Jose	670000
Western International Media	Cupertino	780000
Interaction Associates	Santa Clara	890000
Provident Central Credit Union	Santa Clara	670000
Age Wave	Los Gatos	670000
Swander Pace Capital	Santa Clara	560000
Charles Schwab & Co.	Cupertino	560000
Malley And Associates	Campbell	444000
Change Integration Systems	Santa Clara	566000
Masters Institute	Los Gatos	344000
Concord Growth Corporation	Santa Clara	555000
Maromatic Co. Inc.	Los Gatos	444000
Second Harvest Food Bank	555555
MicroModule	Santa Clara	344555
Colossal Pictures	San Jose	555777
Diefenbach Elkins	Los Gatos	344000
LifeScan, Inc	Campbell	230999
Goodwill Industries of San Joaquin Valley	Los Angeles	455000
UCSF	San Francisco	230899
Share Customer Service, Inc.	Santa Clara	344000
GT Global	Santa Clara	356000
Mallinckrodt	San Jose	900888
Dreyer's	Los Gatos	500900
St. Francis/Sequoia Hospital	San Francisco	455800
Everex	Campbell	Santa Clara	555900
Shamrock Consulting	Santa Clara	600900
RBI	San Jose	600900
Exploratorium	Santa Clara	300900
Vendo Company	Campbell	400900
Zitter Group	Fremont	350900
Permanente Medical Group, Inc.	Los Gatos	200900
Therma-Wave	Fremont	230900
Nellcor, Puritan, Bennett	San Jose	450900
Classic Custom Vacations	Fremont	230900
B.T. Mancini Company	Milpitas	340900
Elexsys International Inc.	Fremont	450900
Mid-Peninsula Housing	Cupertino	450900
TENCOR	Fremont	240900
Amgen Inc.	San Jose	110000
Cunningham Communication, Inc.	Los Gatos	900800
Mortgage Information Corp.	Cupertino	340900
Access Softek	Campbell	230900
